page_url,file_url,file_name,anchor_text,type,associated_product
https://www.al-enterprise.com/en/products/devices/smart-deskphones,https://www.al-enterprise.com/-/media/assets/internet/documents/8088-smart-deskphone-datasheet-en.pdf,8088-smart-deskphone-datasheet-en.pdf,8088 Smart DeskPhone,Datasheet,Smart DeskPhones
https://www.al-enterprise.com/en/products/devices/dect-handsets,https://www.al-enterprise.com/-/media/assets/internet/documents/8214-dect-handset-datasheet-en.pdf,8214-dect-handset-datasheet-en.pdf,8214 DECT Handset,Datasheet,DECT Handsets
https://www.al-enterprise.com/en/products/devices/dect-handsets,https://www.al-enterprise.com/-/media/assets/internet/documents/8234-dect-handset-datasheet-en.pdf,8234-dect-handset-datasheet-en.pdf,8234 DECT Handset,Datasheet,DECT Handsets
https://www.al-enterprise.com/en/products/devices/dect-handsets,https://www.al-enterprise.com/-/media/assets/internet/documents/8244-dect-handset-datasheet-en.pdf,8244-dect-handset-datasheet-en.pdf,8244 DECT Handset,Datasheet,DECT Handsets
https://www.al-enterprise.com/en/products/devices/dect-handsets,https://www.al-enterprise.com/-/media/assets/internet/documents/8254-dect-handset-datasheet-en.pdf,8254-dect-handset-datasheet-en.pdf,8254 DECT Handset,Datasheet,DECT Handsets
https://www.al-enterprise.com/en/products/devices/dect-handsets,https://www.al-enterprise.com/-/media/assets/internet/documents/8262-dect-handset-datasheet-en.pdf,8262-dect-handset-datasheet-en.pdf,8262 DECT Handset,Datasheet,DECT Handsets
https://www.al-enterprise.com/en/products/devices/dect-handsets,https://www.al-enterprise.com/-/media/assets/internet/documents/mobility-ecatalog-ebook-en.pdf,mobility-ecatalog-ebook-en.pdf,Mobility e-catalog,eBook,DECT Handsets
https://www.al-enterprise.com/en/products/devices/sip-dect-handsets,https://www.al-enterprise.com/-/media/assets/internet/documents/8262-8262ex-sip-dect-handset-datasheet-en.pdf,8262-8262ex-sip-dect-handset-datasheet-en.pdf,8262/8262Ex SIP-DECT Handsets,Datasheet,SIP-DECT Handsets
https://www.al-enterprise.com/en/products/devices/sip-dect-handsets,https://www.al-enterprise.com/-/media/assets/internet/documents/8214-dect-handset-datasheet-en.pdf,8214-dect-handset-datasheet-en.pdf,8214 DECT Handset,Datasheet,SIP-DECT Handsets
https://www.al-enterprise.com/en/products/devices/wlan-handsets,https://www.al-enterprise.com/-/media/assets/internet/documents/8158s-8168s-wlan-handsets-datasheets-en.pdf,8158s-8168s-wlan-handsets-datasheets-en.pdf,8158s and 8168s WLAN handsets,Datasheet,WLAN Handsets
